Date,Regime_ID,Regime_Label
5/31/2021,1,Bull
6/7/2021,1,Bull
6/14/2021,0,Sideways
6/21/2021,1,Bull
6/28/2021,0,Sideways
7/5/2021,0,Sideways
7/12/2021,1,Bull
7/19/2021,1,Bull
7/26/2021,0,Sideways
8/2/2021,0,Sideways
8/9/2021,0,Sideways
8/16/2021,1,Bull
8/23/2021,1,Bull
8/30/2021,1,Bull
9/6/2021,1,Bull
9/13/2021,1,Bull
9/20/2021,1,Bull
9/27/2021,0,Sideways
10/4/2021,1,Bull
10/11/2021,1,Bull
10/18/2021,0,Sideways
10/25/2021,1,Bull
11/1/2021,1,Bull
11/8/2021,0,Sideways
11/15/2021,0,Sideways
11/22/2021,0,Sideways
11/29/2021,0,Sideways
12/6/2021,1,Bull
12/13/2021,1,Bull
12/20/2021,0,Sideways
12/27/2021,1,Bull
1/3/2022,1,Bull
1/10/2022,0,Sideways
1/17/2022,0,Sideways
1/24/2022,1,Bull
1/31/2022,1,Bull
2/7/2022,1,Bull
2/14/2022,1,Bull
2/21/2022,0,Sideways
2/28/2022,0,Sideways
3/7/2022,2,Bear
3/14/2022,1,Bull
3/21/2022,1,Bull
3/28/2022,1,Bull
4/4/2022,1,Bull
4/11/2022,1,Bull
4/18/2022,1,Bull
4/25/2022,1,Bull
5/2/2022,0,Sideways
5/9/2022,0,Sideways
5/16/2022,1,Bull
5/23/2022,0,Sideways
5/30/2022,0,Sideways
6/6/2022,1,Bull
6/13/2022,2,Bear
6/20/2022,1,Bull
6/27/2022,0,Sideways
7/4/2022,0,Sideways
7/11/2022,0,Sideways
7/18/2022,1,Bull
7/25/2022,1,Bull
8/1/2022,1,Bull
8/8/2022,1,Bull
8/15/2022,0,Sideways
8/22/2022,1,Bull
8/29/2022,0,Sideways
9/5/2022,1,Bull
9/12/2022,0,Sideways
9/19/2022,0,Sideways
9/26/2022,0,Sideways
10/3/2022,1,Bull
10/10/2022,1,Bull
10/17/2022,1,Bull
10/24/2022,0,Sideways
10/31/2022,0,Sideways
11/7/2022,1,Bull
11/14/2022,1,Bull
11/21/2022,0,Sideways
11/28/2022,1,Bull
12/5/2022,1,Bull
12/12/2022,1,Bull
12/19/2022,1,Bull
12/26/2022,1,Bull
